,0,1
0,AL,"[': ', ': ', ': ', ': ', ': ', ': ', ': ', '84 ', ': ']"
1,AT,"['75 ', '79 ', '81 ', '81 ', '82 ', '85 ', '89 ', '89 ', '90 ']"
2,BA,"[': ', ': ', ': ', ': ', ': ', ': ', ': ', '69 ', '72 ']"
3,BE,"['77 ', '78 ', '80 ', '83 ', '82 ', '85 ', '86 ', '87 ', '90 ']"
4,BG,"['45 ', '51 ', '54 ', '57', '59 ', '64 ', '67 ', '72 ', '75 ']"
5,CH,"[': ', ': ', ': ', '91 ', ': ', ': ', '93 b', ': ', '96 ']"
6,CY,"['57 ', 'NaN ', '65 ', '69 ', '71 ', '74 ', '79 ', '86 ', '90 ']"
7,CZ,"['67 ', '73 ', '73 ', '78 ', '79 ', '82 ', '83 ', '86 ', '87 ']"
8,DE,"['83 ', '85 ', '88 ', '89 ', '90 ', '92 ', '93 ', '94 ', '95 ']"
9,DK,"['90 ', '92 ', '93 ', '93 ', '92 ', '94 ', '97 ', '93 ', '95 ']"
10,EA,"['74 ', '76 ', '79 ', '81 ', '83 ', '85 ', '87 ', '89 ', '90 ']"
11,EE,"['69 ', '74 ', '79 ', '83 ', '88 ', '86 ', '88 ', '90 ', '90 ']"
12,EL,"['50 ', '54 ', '56 ', '66 ', '68 ', '69 ', '71 ', '76 ', '79 ']"
13,ES,"['63 ', '67 ', '70 ', '74 ', '79 ', '82 ', '83 ', '86 ', '91 ']"
14,FI,"['84 ', '87 ', '89 ', '90 ', '90 ', '92 ', '94 ', '94 ', '94 ']"
15,FR,"['76 ', '80 ', '82 ', '83 ', '83 ', '86 ', '86 ', '89 ', '90 ']"
16,HR,"['61 ', '66 ', '65 ', '68 ', '77 ', '77 ', '76 ', '82 ', '81 ']"
17,HU,"['63 ', '67 ', '70 ', '73 ', '76 ', '79 ', '82 ', '83 ', '86 ']"
18,IE,"['78 ', '81 ', '82 ', '82 ', '85 ', '87 ', '88 ', '89 ', '91 ']"
19,IS,"['93 ', '95 ', '96 ', '96 ', ': ', ': ', '98 ', '99 ', '98 ']"
20,IT,"['62 ', '63 ', '69 ', '73 ', '75 ', '79 ', '81 ', '84 ', '85 ']"
21,LT,"['60 ', '60 ', '65 ', '66 ', '68 ', '72 ', '75 ', '78 ', '82 ']"
22,LU,"['91 ', '93 ', '94 ', '96 ', '97 ', '97 ', '97 ', '93 b', '95 ']"
23,LV,"['64 ', '69 ', '72 ', '73 ', '76 ', '77 b', '79 ', '82 ', '85 ']"
24,ME,"[': ', '55 ', ': ', ': ', ': ', ': ', '71 ', '72 ', '74 ']"
25,MK,"[': ', '58 ', '65 ', '68 ', '69 ', '75 ', '74 ', '79 ', '82 ']"
26,MT,"['75 ', '77 ', '78 ', '80 ', '81 ', '81 ', '85 ', '84 ', '86 ']"
27,NL,"['94 ', '94 ', '95 ', '96 ', '96 ', '97 ', '98 ', '98 ', '98 ']"
28,NO,"['92 ', '93 ', '94 ', '93 ', '97 ', '97 ', '97 ', '96 ', '98 ']"
29,PL,"['67 ', '70 ', '72 ', '75 ', '76 ', '80 ', '82 ', '84 ', '87 ']"
30,PT,"['58 ', '61 ', '62 ', '65 ', '70 ', '74 ', '77 ', '79 ', '81 ']"
31,RO,"['47 ', '54 ', '58 ', '61 b', '68 ', '72 ', '76 ', '81 ', '84 ']"
32,RS,"[': ', ': ', ': ', ': ', '64 ', ': ', '68 ', '73 ', '80 ']"
33,SE,"['91 ', '92 ', '93 ', '90 ', '91 ', '94 b', '95 ', '93 ', '96 ']"
34,SI,"['73 ', '74 ', '76 ', '77 ', '78 ', '78 ', '82 ', '87 ', '89 ']"
35,SK,"['71 ', '75 ', '78 ', '78 ', '79 ', '81 ', '81 ', '81 ', '82 ']"
36,TR,"[': ', '47 ', '49 ', '60 ', '70 ', '76 ', '81 ', '84 ', '88 ']"
37,UK,"['83 ', '87 ', '88 ', '90 ', '91 ', '93 ', '94 ', '95 ', '96 ']"
38,XK,"[': ', ': ', ': ', ': ', ': ', ': ', '89 ', '93 ', '93 ']"
